time,left,right
0.0041503906,6.4049864,5.8427587
0.009155273,6.408661,5.8170357
0.014160156,6.371914,5.776614
0.019165039,6.504203,5.7913127
0.024169922,6.4637814,5.5965543
0.029174805,6.3572154,5.409145
0.034179688,6.3425164,5.41282
0.03918457,6.4527574,5.2842054
0.044189453,6.5482993,5.4642653
0.049194336,6.47848,5.6773973
0.05419922,6.518902,5.8537827
0.0592041,6.5703473,5.6663733
0.064208984,6.408661,5.8390837
0.0692749,6.419685,5.4973373
0.074279785,6.2139025,5.5487833
0.07928467,6.36089,5.423844
0.08428955,6.327818,5.280531
0.08929443,6.2616735,5.659024
0.09429932,6.408661,5.541434
0.0993042,6.574022,5.725168
0.10430908,6.302095,5.089447
0.109313965,6.2249265,5.6847467
0.11431885,6.5115523,5.6773973
0.11932373,6.2616735,5.4164944
0.12432861,6.430709,5.567157
0.1293335,6.217577,5.636976
0.13427734,6.4380584,5.714144
0.13928223,6.386613,5.692096
0.14428711,6.5372753,5.8280597
0.14929199,6.4858294,5.7692647
0.15429688,6.529926,5.7435417
0.15930176,6.2947454,5.5451083
0.16430664,6.3939624,5.4752893
0.16931152,6.467456,5.5120363
0.1743164,6.5482993,5.7104697
0.17932129,6.3204684,5.4385424
0.18432617,6.4160104,5.589205
0.18933105,6.515227,5.600229
0.1942749,6.386613,5.600229
0.19940186,6.471131,5.6847467
0.20440674,6.5703473,5.8023367
0.20941162,6.4270344,5.692096
0.2144165,6.4270344,5.776614
0.21942139,6.562998,5.614928
0.22442627,6.386613,5.460591
0.22943115,6.1734805,5.567157
0.23443604,6.419685,5.6663733
0.23944092,6.482155,5.6773973
0.2444458,6.4123354,5.6406507
0.24945068,6.3314924,5.6186023
0.25445557,6.4601064,5.4899883
0.25946045,6.3314924,5.670048
0.2644043,6.408661,5.725168
0.27941895,6.574022,5.5487833
0.28442383,6.5960703,5.541434
0.2894287,6.338842,5.7692647
0.2944336,6.5336003,5.6516747
0.29943848,6.4527574,5.614928
0.30944824,6.239625,5.229085
0.31445312,6.456432,5.445892
0.32440186,6.5482993,5.868481
0.3295288,6.4417334,5.6296263
0.3345337,6.4527574,5.6773973
0.33953857,6.386613,5.3209524
0.34454346,6.471131,5.603904
0.34954834,6.382938,5.846433
0.35455322,6.4417334,5.409145
0.3595581,6.4417334,5.1555915
0.36956787,6.42336,5.7913127
0.37457275,6.5593233,5.46794
0.37957764,6.445408,5.4899883
0.38458252,6.4123354,5.445892
0.3895874,6.3204684,5.578181
0.39453125,6.2947454,5.460591
0.39953613,6.4270344,5.2107115
0.40454102,6.493179,5.7949877
0.4095459,6.5482993,5.7104697
0.41455078,6.4490824,5.2621574
0.41955566,6.3204684,5.456916
0.42456055,6.3057694,5.0673985
0.42956543,6.5005283,5.7325177
0.4345703,6.4270344,5.7545657
0.4395752,6.2249265,5.6737227
0.44458008,6.382938,5.872156
0.44958496,6.3645644,5.3540244
0.4545288,6.669564,5.798662
0.45965576,6.5482993,5.9750476
0.46466064,6.4490824,5.460591
0.46966553,6.5115523,5.35035
0.4746704,6.456432,5.6222773
0.4796753,6.4270344,5.7802887
0.48468018,6.4490824,5.7692647
0.48968506,6.4748054,5.59288
0.49468994,6.42336,5.717819
0.49969482,6.2433,5.515711
0.5046997,6.3314924,5.313603
0.5097046,6.5482993,5.8023367
0.5147095,6.7246842,5.919927
0.5196533,6.430709,5.6443253
0.5246582,6.5482993,5.9272766
0.5296631,6.515227,5.5230603
0.53466797,6.386613,5.659024
0.53967285,6.3902874,5.6884217
0.54467773,6.397637,5.76559
0.5496826,6.29842,5.4275184
0.5546875,6.3645644,5.229085
0.5596924,6.3792634,5.3062534
0.56469727,6.4748054,5.563482
0.56970215,6.551974,5.6626987
0.57470703,6.327818,5.133543
0.5796509,6.302095,5.376073
0.58465576,6.3682394,5.681072
0.58966064,6.324143,5.328302
0.5946655,6.2616735,5.328302
